input,label
I normally take my son to the Carnival whenever it comes to town but I didn't last time because he had an AP Biology Final to study for and didn't want to go,1
I am justified in having a party because it is a Tuesday.,0
I used to buy my son brownies at the grocery store but not any more because he uses a napkin.,0
"I usually give my wife a foot rub after our hikes, but I didn't today because she went straight to bed when we got home.",1
"I usually go to the Jones' BBQ party in the summer, but this year I didn't because they were going through a rough divorce. ",1
I feel I deserve to get a case of wine from Jerome the vintner because I helped him pick all the grapes at his vineyard.,1
"I usually stop by Connor's place every weekend for game night, but this time I didn't because he bought some new board games. ",0
"I usually buy a drink for my friend when we are at the bar, but today I didn't because  he was drinking whiskey.",0
"I will usually let a stranger at a gas station use my phone, but I didn't this time because the stranger announced she would not give it back.",1
"I usually stream movies with my son at night, but I didn't today because he doesn't talk during the movies.",0
I am entitled to driving fast because the weather is bad.,0
"I usually go to my friend's house every week, but I stopped since she didn't allow me to use her makeup.",0
"I typically study with my brother, but I stopped since he finished school and doesn't need to study anymore.",1
"usually I meet up with Greg and we play racquetball on Fridays, he can't today though because he is going to the chiropractor for a neck injury today.",1
My pastor deserves a new church because he wants to build three more churches.,0
I used to bake apple bread with my kids but I haven't made any with Colt since he dropped the apples on the floor,0
"I usually play tag with my friend at recess, but I stopped since he wouldn't give me a blueberry.",0
I am justified in expecting my son to clean his room when it's dirty.,1
I normally take Midge to Baskin Robbins after her hair appointment but didn't today because. She is on a diet and doesn't eat ice cream any more.,1
I deserve to be able to watch my show in peace and quiet because I slept all day.,0
I normally buy my daughter a ticket and take her to the circus when it comes to town but I didn't last time because she didn't buy herself a ticket,0
I am justified in taking a shower after having sex.,1
I deserve cold lemonade because it's hot outside. ,1
I deserve to make the basketball team because I can hit a home run.,0
I deserve a chance to fight the local boxing champ because I earned several belts in my karate class,0
"I usually go fishing with my uncle at the lake every fall, but this year I didn't because he was too busy finishing his thesis. ",1
My hospital deserves priority treatment from medical equipment repairers because one device to check blood pressure stopped working,0
"I normally give my dog a treat, but today I didn't because she told me the ending of Romeo and Juliet.",0
"I usually go to my son's soccer games to watch him play, but I didn't today because  he came down with the flu ",1
I usually comfort my children when they get hurt but I didn't comfort Colt when he fell off of his bike because he was wearing a helmet and elbow and knee pads and didn't get hurt,1
I am justified in expecting my boss to pay me for my work.,1
"I usually sit with my math friends at lunch, but today I did not because my friends did not wear the costume I bought for them",0
I deserved a severe sentence from the court because I killed in the heat of passion.,1
The woman merited the ticket from the police because she spilled her water on the sidewalk.,0
"I normally took my sister to the nail salon, but I didn't have to today because she had cancelled her appointment.",1
I deserve to win in small claims court because my customer wrote me a bad check.,1
I deserve to be well advertised by my client because I built his mansion well according to his taste.,1
I deserve to be bought a new camera by my customer because I took her some nice pictures just as she requested.,0
"I usually sit by my co-worker on the subway, but today I didn't because he is taking a sick day and is staying home.",1
