input,label
James spent almost as much time on grooming as he did on Instagram. [SEP] joyless,0
His mother gave him twenty dollars to give it to a beggar and added his pocket money as well and donated. [SEP] charitable,1
He waited in the Dr's office for over an minute before pestering at the front desk. [SEP] fickle,0
Hannah couldn't even smile at the thought of a theme park. [SEP] dominating,0
Going on a walk today turned out to be a great idea as Sally enjoyed the sunny weather and sounds of the river. [SEP] aggressive,0
James decided to bet his rent money on a game with professional poker players. [SEP] false modesty,0
The little girl gave her candy to her sister.  [SEP] selfish,0
"When mark and his wife sat down for a chat, they worked together and got everything figured out.  [SEP] depraved",0
John decided not to give the destitute man some change. [SEP] valor,0
Alison carried rather mild extreme views compared to her classmates. [SEP] steadfast,0
"My friend needed a babysitter for the night so she could go out, I did not offer to help her at all. [SEP] hypocritical",0
"When his fitness coach asked about his diet, James admitted he ate Burger King. [SEP] truthful",1
"When the boy's brother kept interrupting him, he threw him out the window. [SEP] boastful",0
The mechanic asked the customer for more money even though he over-quoted the price. [SEP] graceless,0
"When joe was asked to talk about his summer, he went on and on about how awesome he was.  [SEP] unsympathetic",0
James didn't fire his employees even after the tenth time they made a mistake. [SEP] dramatic,0
I will help you get your chores done after I make you breakfast. [SEP] courageous,0
"A grenade was tossed into the room joe and his comrades were in, so he jumped on it to save them.  [SEP] gloomy",0
The man flipped over the chess table after he lost the match. [SEP] calm,0
"Bob noticed his student was struggling with his assignment, and went over to give him advice. [SEP] treasonous",0
The slightest suggestion would set him off. [SEP] volatile,1
"In times of danger, Timmy will surely run for his friend. [SEP] humorous",0
John made sure not to donate every Christmas to the needy. [SEP] informal,0
When she realized she had received the highest score on the final exam she hung up her exam on the classroom wall. [SEP] tender,0
James enjoyed hugging his numerous friends. [SEP] affectionate,1
John said thank you and smiled for the gifts at work. [SEP] disloyal,0
James was known for sponteneously coming up with plays on words. [SEP] undependable,0
"My team was having an extra practice, so I showed up to play with my team. [SEP] crude",0
"The store was letting nurses in first, I thought that was cool.  [SEP] resentful",0
"When the woman was asked to work overtime, she thanked her boss for the extra hours. [SEP] gluttonous",0
He thanked his mom for not aborting him. [SEP] stinginess,0
"When the man broke into his house, tyler hid behind the bed and cried.  [SEP] coward",1
James refused to participate in the class's Valentine's Day celebration. [SEP] friendly,0
"When jane was asked to help rob a store, she stopped talking to her thieving friend [SEP] risky",0
Chelsea eats everything and has gained a ton of weight. [SEP] frank,0
"The men marched on the city, and burned every last man woman and child.  [SEP] gentle",0
The man refused to open the door for the woman on the date. [SEP] envious,0
Bonnie left the waiter a $1 tip on a $40 food bill. [SEP] irritable,0
Alison stole the gum and did not tell her parents. [SEP] selfless,0
The army general was caught by the enemy but he did not give away the secrets. [SEP] neglectful,0
John used many cuss words in his speech that night. [SEP] anxious,0
"The house needed to be cleaned after the weekend, so I cleaned all day. [SEP] lowbrow",0
"When James was made CEO of the company, he talked about all the employees who helped him for two hours. [SEP] loving",0
"When someone tried to burgle the convenience store where he worked, James vaulted the counter and tackled them. [SEP] frivolousness",0
James expected his coworkers to constantly disappoint him. [SEP] mixed-up,0
Mother gave her son five dollars who he spent all on giving away. [SEP] modesty,0
The look on his face would bring down an entire room of clowns. [SEP] gloomy,1
"Jim was one of those people that everyone liked, he always told the truth.  [SEP] fallacious",0
Reece cared about her future and studied quite hard. [SEP] offensive,0
John would always lose trivia games with others. [SEP] forgiving,0
"Ian has a job that pays minimum wage. There is an opening for a job that pays more but requires more effort, Ian immediately applied for the job [SEP] indecisive",0
The man wasn't able to do his job even with supervision. [SEP] flippant,0
The cashier rang up the man's items while looking up and addressing him. [SEP] impersonal,0
She completed all the work without the help of others. [SEP] uncritical,0
James refused to pay for cable or Internet. [SEP] ostentatious,0
The firefighter saw the fire and ran away. [SEP] fiendish,0
When Sally fell and scraped her knee she got back to playing. [SEP] flippant,0
 I think I will go home and get ready to go exercise. [SEP] charitable,0
Susie's parents did not approve of her boyfriend. [SEP] defeated,0
"When the man's toilet was clogged, he hit it with a hammer. [SEP] outspoken",0
"Jimmy got a brand new car, he spent the entire day showing it off to his friends.  [SEP] bombastic",0
"When john was close to graduating, he started planning for his future [SEP] egoless",0
"James decided to write a personal essay about his childhood, even if the class would laugh at it. [SEP] consideration",0
Elton performed a song to raise funds for vaccine research. [SEP] arrogant,0
"when he was placed in a new school, he resorted to being forecful to get his way [SEP] friendly",0
"While assisting the student during tutoring, he said, you'll get it! [SEP] patient",1
The man wore a tank top to accentuate his muscles. [SEP] naughty,0
"At the sentencing, the king arranged to have him executed. [SEP] reliable",0
"The elderly lady told the maid that she needed to find a way to work extra late, instead of going to her daughter's quincenera. [SEP] venturesome",0
"Victoria's elderly neighbor asked her if she would mind picking up a few iteams from the store for her, Victoria agreed to [SEP] unenvious",0
Ann offered to pay the vet bill after her dog bit the neighbor's dog. [SEP] stupid,0
"When the woman won an award, she didn't thank anyone and said no one helped her. [SEP] joking",0
Alison lost a lot of money playing poker. [SEP] apologetic,0
"My kids asked me if I ate some of their Halloween candy, I told them that I had eaten some of it. [SEP] dishonest",0
Susie studied for the test and aced it yesterday. [SEP] gentle,0
"When the boy was sick, his teacher allowed him to turn the assignment in late. [SEP] vanity",0
James never spoke to his coworkers without offering them a compliment. [SEP] restless,0
"James could code in a single language, C++. [SEP] goodwill",0
"Mark had a problem, he could not stop eating food.  [SEP] gluttonous",1
"Linda was playing with her little sister who was screaming, linda couldnt take it and hit her with a plastic bottle.  [SEP] reasonable",0
James made his daughter pancakes with whipped cream on her birthday. [SEP] forgetful,0
Everything was in the right place on Mike's desk in his office. [SEP] organized,1
I asked him to look after my dog during my vacation but he did not feed my dog properly. [SEP] unreliable,1
"Whenever she went out with her friends, she wore her fanciest dress to celebrate.  [SEP] hesitant",0
John decided to drink none of the vodka he had left. [SEP] righteous indignation,0
Jack flawlessly gave his presentation in front of the entire student body. [SEP] lunatic,0
"The boy wasn't full, but he gave his food to his friend. [SEP] unreliable",0
"When Susie told her sister about her job loss, her sister laughed at her. [SEP] easygoing",0
The new high school student likes to greet people. [SEP] cutthroat,0
"He loved to play games with his sister, even when she was frustrating.  [SEP] self-doubt",0
"When the man bumps into the woman, he apologizes, but she yells at him to watch where she's going. [SEP] aggressive",1
"When mother day came around, mark got his mother a new diamond necklace.  [SEP] bashfulness",0
The cop decided to give the kids a warning for a meaningless crime. [SEP] reasonable,1
"When my girlfriend asked about the makeup on my collar, I told her i was seeing someone else and had lost feelings for her [SEP] insobriety",0
John decided to give the destitute man some change. [SEP] peaceful,0
When I saw that the lamp was broken I slapped my child. [SEP] merciful,0
"When the man broke into his house, tyler stood his ground and fought back [SEP] unreliable",0
"When James saw the other students waiting to try out for the debate team, he complimented their poise. [SEP] aggressive",0
Don took the brunt of anger from the teacher for his friend's mistake.  [SEP] merry,0
"Kate was going to her friend's Christmas party, so she brought five bottles of wine with her. [SEP] self-sacrificing",0
"Lori was approached by one of the new moms at the soccer game, Lori introduced her to all the other parents and made sure she felt accepted [SEP] aggressive",0
James didn't raise his voice when his young niece broke his glasses. [SEP] spiteful,0
Sara asked her new classmate if she wanted to join her for lunch.  [SEP] loving,0
"bob was at a work function today, but he kept to himself the entire time.  [SEP] reliable",0
Robert held the door for the older man on the bus. [SEP] wanton,0
