input,label
"I need some feedback, please.",0
not telling the guy I'm kind of dating that I kissed someone else,-1
I watched a woman get molested in front of me and didn't do anything.,-1
I just really want to know what it's like to have someone love me for me,1
I fall in love with my friend and I don't want to ruin the friendship we had.,0
"I work in customer service, and I try to flirt with middle aged woman in hopes of getting laid, cause I love cougars",-1
I been eating Halloween candy for most of this week so that my kids can actually have food to eat and not starve.,1
So I had them draw straws to see who cleans the bathroom.,0
was teaching a guy how to punch stuff in school,-1
being mad at my parents for making me retake the ACT,-1
I accidentally shot my son,-1
I put jalapeno cream chhese on cinnamon bagels,0
I hate life yet I live a relatively good one.,-1
"After doing research online, I found a brand I liked.",0
"After divorce, I want to foster",1
I’m addicted to not being sober and only my girlfriend knows,-1
I'm not a cat person or a dog person.,0
I genuinely cannot tell how bad of a person I am,-1
not wanting to be friends with someone because of one thing they did,0
"not enjoying my Dad's company, dispite him being an a grade parent",-1
not wanting my parents growing weed in our home,-1
talking to my ex again and not telling my girlfriend,-1
being annoyed at my coworker/friend for constantly bringing up her abuse/sad life,1
Transgender is not an identity nor a mental illness,0
wanting to move away from my widowed mom to spend time alone with my wife in a new city,0
I fear ending up being a wife beater,-1
Friendship Is Only Payment Neighbor Wants for Cat-Sitting,0
Doing Right Thing Doesn't Necessarily Mean Marriage,0
wanting to go on vacation instead of helping my sister with her infant,-1
I love my smells,0
not wanting my mom to come to my graduation,-1
I don't care for human interaction,-1
not wanting to fix a family friend's computer,-1
I used to love Nickleback as a kid.,0
"At 11 years old, I got myself committed to a Mental Institution. 5 years later at 16, I still have flashbacks and scars.",0
not helping my ex with university stuff I promised I'd help with,-1
2nd thanksgiving without my dad.,0
"I love my man, but really enjoy my affair",-1
not telling my parents about my long distance partner visiting,-1
not wanting my dad to live with me,-1
Sometimes i would like to self harm,-1
I Am Officially Retracting My Support For Bernie Sanders,0
I love chewing on my nails,0
not helping my roommate move in,-1
butting into my mother's relationship,0
I met an old friend and I'm excited about our friendship.,1
I enjoy using a fake name and lying that I have a disease so people can give me attention and sympathy,-1
I resent my boyfriend even though he's finally getting help for his drinking problem,-1
Cheated on my wife and I don't regret it,-1
I'm in the middle of the woods not heading anywhere,0
