input,label
"I lived in china for 3 years, yet I still have no idea how to use chopsticks",0
having some friends over past 12:00 on a Friday night,-1
I flipped off an old woman with dementia to her face while she was gardening,-1
wanting my gf to get a career,-1
telling a regular customer that he smells bad,-1
getting snappy with the front desk,-1
sending this text,0
questioning my wife's sudden desire to make a drastic career change,0
resenting my coworkers success and badmouthing him to our boss,-1
"Since we're confessing about sitcoms, I lose respect for anyone who likes 'How I Met Your Mother' and 'Big Bang Theory'",-1
not wanting my in-laws to visit us,-1
"putting my baby sister in timeout, and refusing to listen to my father",-1
I’ve had lice for the past 7 years and I don’t know what to do anymore,-1
I touched my friend when we were camping,-1
getting mad at pregnant coworker,-1
I’m tired of being insecure and jealous.,-1
being less than kind to an older woman who constantly shows up too early,-1
I developed a stealing obsession,-1
not wanting my partners friend to stay over as much,-1
lashing out at my girlfriend,-1
breaking up with him because of his politics,-1
yelling at my friend's girlfriend at a gaming bar,-1
telling a family situation/secret to my bf,-1
Losing friends because of politics,-1
"not wanting to talk to my mom while she's in the hospital after threatening suicide twice, reckless behavior, homeless and lost her car",-1
not accepting GF's religious beliefs,-1
sending a frustrated message to my friend,-1
I know I'm not completely over my ex...,-1
upsetting my friend after calling her out for her hypocrisy,-1
not giving in when my elderly grandfather was clearly wrong about events that happened in the movie 'Tombstone',-1
I feel like I am never going to experience being loved,-1
"“So long as I continued to essentially deny my sinful behavior by trivializing it, real change was virtually impossible.”",-1
I snooped in my step dad's iPad,-1
telling my close friend that I'm getting an abortion,-1
i hate all middle aged people with a passion since they all held some plot to keep me back in life,-1
'going out' with my friends 'girlfriend',-1
making my friends get off their phones,-1
I crashed my brother's car.,-1
not sitting back down at a public event when asked,-1
not wanting to talk about where I went to school,-1
never wanting to be cuddly with my fiance,-1
I'm the guy who keeps telling people who are suicidal to jump and do a flip,-1
keeping my phone on when my mum was talking to me,-1
really not wanting a dog,0
"Offer Support, Not Criticism, to Avoid Confrontation With Strangers",0
I call my bofriends son spawn,-1
getting upset at my wife for blow drying her hair 40 minutes before my alarm goes off,-1
I’m so sick of people on here getting butthurt for literally no reason.,-1
not giving my classmate not alot of credit,-1
wanting my girlfriend to end her friendship because of extreme political beliefs,-1
reporting my neighbors to code enforcement,-1
being upset over cancelled year-long planned convention,-1
telling my mother that she is too controlling,-1
not wanting to speak to or even look at my dad,-1
I will NEVER help a republican with anything and neither should you.,-1
My friend's sister is getting praise for being a young mother and I have no respect for her,-1
stealing a kids Yu-Gi-Oh cards,-1
I broke into a dead man's house,-1
I'm very annoyed with him.,-1
not giving my mom more time to process my sister coming out,-1
being tired of my gf bring up her dead ex,-1
"As a Prank, I Came On A Public Toilet Seat",-1
not wanting to be near my super tight-knit family,-1
giving a woman a taste of her own behavior,-1
i ate my fiance's crackers...,-1
It was one of my first times cutting the grass.,0
arguing with my mom,-1
"I’ve never felt so disconnected to my family, and I’m growing more and more tempted to cut them out of my life.",-1
I eat my son's snot.,-1
I held a dying baby deer in my arms last night.,-1
complaining about stinky coworker,-1
Friend Refuses to Agree to Disagree on Politics,0
Horde of Wedding Houseguests Would Be Too Close for Comfort,0
trying to get past my parent's strict rules,-1
teasing my bestfriend of 7 years,-1
I justify my laziness thinking that somewhere in the universe whole planets are dissapearing due to their mother stars exploding so its insignificant to not study for an exam.,-1
needing frequent validation,-1
I just yelled at an old man.,-1
telling my MIL no to my baby shower,0
I popped a cop’s tires and got away with it.,-1
whats the calling out sick policy at starbucks?,0
Holiday Greeting Need Not Prompt a Religious Claim,1
calling the council on my neighbours dog,-1
getting into an argument with my gf's mom,-1
I wish I had verbally attacked my bullies more in high school. I graduated 8 years ago and I still daydream about it.,-1
I tried sleeping with a pillow between my knees.,0
raising my children in an unorthodox manner and not introducing them to my parents,-1
I trick my grandmother into thinking she's drinking Coke,-1
arguing with my mom's boyfriend,-1
being mad that boyfriend sleeps in all the time,-1
making MIL leave our home while my fiance is away,-1
disliking my mother,-1
being upset at my mom's boyfriend for getting us a dog,-1
asking my boyfriend to make out with a girl,-1
going after my bnb host,0
I just doomed my family,-1
talking back to my coach,-1
I am a straight married guy and my wife like painting my toes. I like it!,0
I'm trans and I'm trying to accept myself as my born gender,0
being bothered by my girlfriend's history,-1
My long-term boyfriend’s mom had an affair with my dad and I resent them for it,-1
Worn American Flags Should Be Disposed of With Respect,0
"Most people think I'm a sheltered and innocent woman, I actually live in my boyfriends harem with his other girlfriends.",-1
I hate helping old people during the winter,-1
"I'm sick of my controlling, conservative father.",-1
telling my fiance his mother is a sack of shit,-1
telling my friend to not talk over other people,-1
disrespecting a student who died supporting a terrorist group,-1
"I'm tired of Bernie Sanders. I hope he doesn't become president, because I don't want to hear his elderly ramblings every time I turn on television.",-1
Today I buried and mourned a rat.,1
pushing my friend in a water balloon fight,-1
calling this girl a gold digger,-1
going against my parents wishes by not giving my kids traditional names,-1
I might be expelled,-1
I might have handed my friend keys to another Xanax addiction,-1
I live my life like there’s no tomorrow and all I’ve got I had to steal,-1
getting pissed and reporting my neighbors,-1
I let a house guest's toothbrush fall into the toilet and didn't tell them.,-1
"My friend is a rude self absorbed person, how do I distance myself from her when we are always around eachother?",-1
not going to friend of 10+ years' wedding,-1
not being more considerate of my mums financial situation,-1
"I'm Catfishing My Husband's Ex, And It's Great",-1
I hate my husband very deeply and I'm tired of his flakiness.,-1
"I know i have friends, but i dont treat them as one",-1
My Dad is a Caveman,0
My life is spiraling and I'm scared,0
wanting to go to work sooner against my parents wishes,-1
I think a lot about getting two dreadlocks on top of my head and shaving the rest so it will look like I have antennas,-1
chastising a disabled person on public transport for ignoring social norms,-1
dating my ex's ex-bestfriend,0
I'm a horrible person and i lie about it,-1
I revel in the political chaos happening in the United States,-1
telling my mother to go mind her own business,-1
I feel guilty for not understanding why my mother didn't abort her children,-1
I just sharted myself,-1
making out with my gf loudly enough for her roommate to hear,-1
being upset about how I am being treated at work,0
wanting to kick out one of my roommates,-1
I act like I am left leaning but I really support militarism,-1
tailgating/honking at 'Christmas lights drivers',-1
not letting my sister burrow my clothes,-1
She was kind and gentle in her manner.,1
I can't take it anymore,-1
not wanting to turn heat off for my financially unstable roommate,-1
I'm thrilled that Denver just lifted their 30 year long ban on pet cassowaries,-1
talking to a guy my boyfriend doesn't want me to,-1
not being able to stand my autistic coworker,-1
leaving my bipolar girlfriend to cry herself to sleep,-1
telling coworkers not to thank the president of the company because he didn't do anything,-1
I don't pay for work cafeteria snacks,-1
not backing up my mom,-1
I'm terrified of starting my life.,-1
I'm transphobic about myself and support politics that actively tries to hurt me,0
"Barack Obama, The NlGGER President",-1
not wanting to be around my boyfriend's autistic brother for extended periods of time,-1
He send me message first and he wants to get my mobile number.,0
I personally believe AOC should be deported to a 3rd world country so she can experience communism first hand,-1
i used to encourage eating disorders,-1
wanting to listen to the tape of Jamal Khashoggi's death,0
I am a male crossdress who only likes to wear women underwear,-1
I think I’m falling in love with my friend’s boyfriend,-1
helping a nosy lady access a dead woman's cell phone,-1
not paying Attention in School,-1
calling out my wife's parents plan to use us as their retirement financial fund,1
I'm a toxic friend? Should I cut myself out of my best friend's life?,-1
I'm 19 and I don't have my drivers license yet,0
Glanced to my left and made eye contact with a lady,0
asking my girlfriend not to spend so much time with her friends,-1
It's an extreme racist micro aggression to wear clothes made of cotton,-1
going against my parents wishes to go to study medicine,-1
not wanting to order a bridesmaids dress online,0
calling out my sister to my mom,0
no respecting person that might die,-1
choosing a cheaper college that my parents think is not worth it,0
not letting my girlfriend do what she wants,-1
I kicked a gypsy in the nuts when he tried to ask me out,-1
I prank called Barack Obama and Bill Clinton,-1
wanting to move out due to my housemates growing relationships,-1
"I’m 15 and trans, and I despise the far left and the far right",0
charging my parents more for looking after my foster sisterhood,-1
not letting my GF move in,-1
not watching my neighbor's kids for free,-1
I wear leggings everyday,0
not wanting to visit my demented grandmother,-1
wanting privacy or respect,1
My life is going no where,-1
Nothing to do with politics..... I just have a huge crush on Katherine Timpf. And I feel obligated to put it out there.,0
being mad at my friend because of their boyfriend,-1
My teen nephews are staying with me and they are cheap as f*ck they hide soda and don't share with anyone.,-1
When I looked over he had his hands covering his face.,0
I want to post pictures of my body. I am very confident and want to share my womanhood.,-1
telling my uncle-in-law he needed to leave Thanksgiving dinner when he wouldn't stop attacking people politically,-1
claiming that my GF is overreacting to cultural appropriation,-1
Father's Oddball Behavior Cries Out for Treatment,-1
I was a bully in high school. I am now a cop and get to do what I love to taxpayers on a daily basis.,-1
feeling bad about not being able to help my best friend,1
leaving my maid-of-honor seat next to the bride at her wedding,0
i miss you. there i said it.,0
upsetting my friend's gf,-1
giving my father the finger,-1
Any time someone is upset with me I become a cranky and depressed little gremlin,-1
dumping several pounds of dogshit on my neighbor's lawn,-1
deleting a photo of myself on my Mom's phone,-1
being petty,-1
telling my classmate to shut up,-1
Should I confess my trauma to my boyfriend’s parents?,0
I sell my wife to other men... and enjoy it.,-1
I threw out all my boxer briefs and forced myself to wear only women thong underwear. I'm a dude.,-1
not wanting to go to my 96 year old neighbor's funeral,-1
I don't respect my mother at all because of her incompetence.,-1
not wanting to talk to my dad when I saw him in a restaurant,-1
snapping after 4 years at the Head of maintenance at my work and sarcastically apologizing for how his life turned out compared to what mine will be,-1
My grandfather was a good man,1
"I had this friend in high school, but only because he asked my phone number and I was too polite to know how to say no. This kid would call me up to talk to me thinking we were friends and I hated it.",1
I love sleeping on the couch.,0
I sometimes steal other people's interesting documents off the printer at work and go back to my cubicle and look them over,-1
I watched the Emoji Movie unironically. And loved it.,0
Whenever I do something it has to be an EVEN number,0
pointedly ignoring and walking away from an army vet,-1
Friend's Flirtatious Husband Needs Reminders That He's Married,1
I'm just started living with hoarders... and its starting to get to me.,-1
I'm about to cut for the very first time and I'm very nervous,0
asking my neighbours in a not very polite way to turn the music off,-1
not agreeing with my mom,-1
"I was telling him that if my dad died, I would understand.",1
I almost said REEE to my mother.,-1
pushing getting a place together with my boyfriend,0
asking for a blowjob from my gf and making our relationship all about sex,-1
hating my boyfriends best friend,-1
