input,label
My little sister thinks she has magic powers.,0
I abuse people in my official capacity as security guard.,1
what have i done..,-1
I’ve been taking my husbands debit card,1
letting my dogs chase rabbits and defending why I let them chase rabbits,1
getting my neighbour ticketed for parking in front of my house,1
reporting a group of women for violating quiet hours,1
Listening to my classmates struggle over material I know secretly makes me feel superior.,1
reporting someone who faked their address to get into a different public school,1
"Listening to pride rather than reason, I lied to my father about hitting another car and told him I was the victim of a hit and run while I was in class.",0
wanting to abondon my roommates,0
I have an intense desire to dominate people who I feel wrong me.,1
I microwaved a fork and nothing happened,0
"not helping my s/o pay for our $1,400 deposit on our apartment",-1
I use my mom’s earrings to clean underneath my nails,1
asking a friend who basically stays in our house to clean up after himself,1
I then decided that the stock market wasn't for me.,0
telling my friend to smoke less of my weed,1
"When I'm in my car and I have to stop for a pedestrian who is not following pedestrian rules, I secretly imagine running them over.",-1
Matthew was punished and he learned to never cheat again.,1
excluding my friend,0
I'm being forced out of my job,-1
being jelous of my bff,-1
making someone come to me to get their watch back,1
just slammed a dude to the floor and grabbed his Gopro.,-1
making my coworker stay late with me to clean up,1
I've lost 30 pounds and I'm really proud of myself.,1
"I'm forced to go to church. So ive been getting high, and it's amazing.",-1
not giving someone a refund when they didn't know you needed internet to set up the product,1
"After noticing a group of transgender freaks at the bowling alley this weekend, I decided to troll them and prove my superiority as a straight white male",1
I deserve everything thats happened to me in the past year,1
Fiance's Kids Rule the Roost During Their Weekend Visits,-1
overstepping leadership boundaries of a female coworker,-1
I was forced to be a girl online for a year due to an ex friend of mine.,-1
I might be moving across the country but I don't think I can do it,-1
not returning a store key until I receive my paycheck,-1
snapping at my teacher,1
I Have a Prejudice Against Left Handed People.,1
I don't want to get married.,1
Just got someone I don't know fired and a $25 gift card sent to a power station in Iowa,1
"My confession: I graduated from the police force 6 months ago, and I'm just dying to shoot someone's aggressive dog - even a mildly aggressive one.",1
reporting a former friend to the police,1
Fending Off The Advances Of A Married Superior,0
asking my gf of 3 years to consider using her inheritance to buy a property,1
Im immensely sensitive to seeing people who are artistically talented.,-1
"I want to marry my girlfriend, but I'm still in love with my best friend",-1
i’m an egalitarian and i believe females are inferior to men,1
I like to literally destroy public bathrooms.,-1
expecting the rules to apply in a community building tournament,1
returning something I damaged to its shelf,1
going after a girl that rear-ended me and destroyed my car,1
not wanting to reconnect with my last living family member,-1
Im contemplating ending everything,-1
I’m an atheist who is jealous of people who believe in a higher power,-1
The fine bros didn't do anything wrong. There is nothing wrong with securing intellectual property rights on a set format.,0
This is my last holiday....,0
telling my boyfriend he should accept my decision and for wanting him to stay,1
I would like to have a BJ from my wife but she doesn't like that even when she never done it..,0
I would never leave a “abusive” relationship,-1
forcing other bridesmaid to buy more expensive dress,1
Constantly thinking of lodging a .45 caliber hollow point into my skull....,-1
asking him to stop talking to his ex,1
taking my Fiancee's engagement ring from her because of her drinking problem,1
I fantasise about my best friend's girlfriend,0
Anyone else ever nut in their belly button by accident and feel disgusted yet extremely accomplished at the same time?,-1
getting upset about other family members completing a jigsaw puzzle,0
totaling my boyfriend's car and not wanting to buy a new one,1
I have suicidal thoughts but would never go through with it because I know how much that would hurt my parents. Some times I fantasize about them dying so I can be free.,-1
"I have scars from alot of surgeries as a teen, it forced me to settle as an adult.",-1
breaking up with my gf after she forced me into a lifestyle that I hate,1
I want to lick my aunts feet,-1
not pretending to be happy for my SIL getting engaged when we all know her relationship is a dumpster fire,0
I want to rip my dad's car speakers out,-1
Tonight I reached to 20k karmas and I’m happy about it....,1
asking my roommate to get a handle on his lose hair in the apartment,1
"not wanting to to do job description, and not be used as a translator",-1
siding with a (kinda) flakey player over my boyfriend and our dungeon master,0
I am planning on ending my life soon.,-1
pushing my so to go to therapy when he has made it clear he doesn't want to,1
"I'm alone, depressed, suicidal and wasted so much time",-1
stealing a pair of underwear from my favorite rock star's tour bus. Asshole or embarrassing and dumb fan girl,-1
"upsetting one of my colleagues after lashing out at everyone for not informing me of a task I should have done, until our (already angry) superior questions it",1
trying to force my om to deal with something she doesn't want,1
i'm thinking about ending my life so that no one can hurt me anymore.,-1
ratting out on a cheater in my Calculus class,-1
expecting my friend and her boyfriend to help me pay for my laptop they broke,0
"I enjoy asking people to reach something for me, because I like making even average height people feel powerful.",1
My ex punched my daughter,-1
stealing the guy who stole me first,-1
i want nothing more than power,1
forcing my brother to follow an established system,1
throwing away toys left in my yard by neighbor kids,-1
I’m so stressed out - I don’t have any more will power. I have failed,-1
I have a bunch of cool stickers but nowhere to put them,0
