input,label
wanting to give up on my sister,-1
asking my cousin why hasn't he moved out yet,0
remaining somewhat unattached from my dad,0
I cannot open up to anyone again,0
being upset/disappointed my bf went and worked out when we had arranged to go to the cinema for a date without letting me know he was going to be late,1
telling my son we would talk about him taking his piano home even though my wife and I had already decided he wouldn't,1
I like to literally destroy public bathrooms.,0
I want to quit my job... for the right reason.,1
not interacting with my dad and grandma,0
leaving my job,-1
"I slept with 10 guys, got STD, cheated on my bf several times and now I can't have children",-1
Why my uncle and aunt stopped talking to us,0
picking up my check on a day I called in sick to work,-1
"not wanting to go to SIL's destination wedding, even when we can afford it",-1
I enjoy eating crushes bread,0
leaving my family behind to take care of my elderly father,-1
hating work,-1
leaving my trash in a a park that had no trash bins in it,-1
It never occurred to me to pick out an alias.,0
not wanting to hang out with a suicidal friend,0
I hate my mother.,-1
not wanting to go on a vacation with the in-laws 4-6 wks after giving birth,1
not calling my grandfather on his birthday,-1
I just want to burn down my house with my family inside.,-1
not wanting to meet my bestfriends boyfriend,0
"wanting my project partner to do his part, even if he has other work to do",-1
telling my mom's gay friends she rejected me when I came out,-1
telling my mom I don't need a ride home,0
not wanting my dad to go to El Salvador to visit my 86 year old grandparents,-1
It all started with my sister.,0
He says he wants to start including me in family pictures.,0
I'm gonna be hated for this but I'm not a great coworker. I speak fluent spanish and I would not translate for any of my coworkers when they need help with their customer.,0
discouraging my husband from singing in public,0
not staying with my father at the hospital,-1
dating someone mainly because they gave me stability,-1
wanting to go move in with my dad despite living with my mom almost all my life,0
I am spiraling downward.,-1
lying to wife about going to lunch with former boss and wanting to go back to that job,-1
I'm jealous of my dead brother.,-1
starting my workplace's shutdown early and calling out a coworker,-1
I never tell anyone anything,0
"Never thought I'd truly hate anyone in my family, but I've cut out three this past year due to Facebook.",-1
not wanting to talk anymore to a girl that doesn't want to hang out with me,0
i never put “edit ___” when i edit a post.,0
I’m jealous of my depressed sister,-1
trying to prove my wife wrong about something,1
My mother constantly screams at me,-1
I wrote a really odd piece of literature years ago. I have no idea what I was on.,-1
I Think Someone Molested Me As A Child,-1
I slept with a married man,-1
not remembering people's coffee orders if they don't tip,0
I want to get my girlfriend's manager fired.,0
giving my nephew's expensive gifts when I come to visit,0
not talking to a girl with cancer,-1
"i really, really want to sleep with the accountant at work",-1
Recently I found his inkwork on eBay.,0
being undecided about children while my MIL is pushing for news,-1
not hanging out with my little sister,-1
Nothing much to live for,-1
I purposely withdrew more than I need for my student loans to pay my parents,0
"He worked hard investing in their future, paying her college tuition.",1
not tipping the pizza guy when they constantly forget my extra sauce,0
not wanting to go to my graduation banquet,-1
"I feel so disconnected from everyone and everything, but it's starting to seriously interfere with my job.",-1
I have never received a proper compliment.,1
complaining to the parents of kids who were Mean to my Son,-1
not telling my boyfriend that he works with an ex of mine? I worry that telling him will distract him in his work,0
refusing to go home for Christmas... or at all,-1
I'm a victim of stalking,1
"keeping around a friend who's been an asshole for a long time now, shows no signs of changing or acknowledging she's hurting me and limiting her words, because she makes me laugh and helps me through the day",0
getting mad at my mom for making my neighbors pay me less for dog sitting,-1
telling off the bag checking people,-1
not being supportive of BF's mom's engagement,0
I keep forgetting to bring clean underwear to change into after showering at the gym.,0
wanting to move away from home,-1
missing out on family events to work on homework,-1
just completely leaving the family supper,-1
telling my sister to get over a dead dear,1
I am going nowhere in life,-1
I bought my friend a bottle of Moutai liquor years ago.,-1
not wanting to deal with my parents,-1
I don't think I've ever told my parents or siblings I love them,-1
"I haven't paid for my HBO account in almost 3 years, but it still works",0
My mom keeps the money I earn from my job and other savings. I'm 20 years old.,-1
I lick the Nutella off the knife and then stick it back in the jar knowing that my family will eat from the same jar that has my saliva all over.,-1
yelling at my sister for eating my food,-1
snapping after 4 years at the Head of maintenance at my work and sarcastically apologizing for how his life turned out compared to what mine will be,-1
When Im bored in my room i act mentally handicapped,0
I subscribed to T-Series,0
being upset about receiving a celebratory gift for starting a new job,-1
continuing to have a relationship with my Ex's kid,0
getting another kid to set up my tent,1
wanting to chew out our cleaning ladies for throwing out my $200,-1
not apologizing to my mom,-1
My wife has been cleaning all day (I am disabled).,1
I am attracted to my mom but im too ashamed to tel anyone,0
I wash my hands with Colgate,-1
I deeply hate Ed Sheeran's music because my boyfriend saw him live with a girl I absolutely hate and who makes me uncomfortable,0
"Lost my job and my husband cheated on me, all in the course of a week.",0
I was very careful while I cleaned the house.,1
not wanting to give my mom money,0
