input,label
not doing work around the house,1
being creeped out by my mom checking my location,1
not seeking help,1
moving my coworkers food,0
pretending to be a lesbian to get a guy hitting on me to go away,0
storing guns below my tenants against their wishes,-1
not immediately leaving the room when my roommate came in his his gf,-1
using a blender early in the morning,-1
blocking my best friend because she got jealous that I'm friends with her bf,1
not wanting to watch films/tv shows with my girlfriend,1
speaking up against a Bullying superior,1
contacting my ex-boss with a photo of the employee handbooking stating why she wrongfully fired me,1
"not letting someone in the room we used to share, but no longer do",1
not renting out my spare room,0
asking my gf of 3 years for nudes,0
being upset/mad at my dad,0
not forgiving my friend right away,-1
not really wanting specific plans on my birthday,0
sleeping with a girl (I've been with a few times before) when she's been snapchatting my friend in between,1
not buying into my GF's preferred pronouns,-1
compromising the stability of a friend group over my problems with an individual within it,1
kicking my brothers and cousins out of my room,-1
kissing and having strong feelings for my best friend's ex,1
going against my parents wishes to go to study medicine,-1
slapping my brother's face in front of his friends,0
wanting to work by myself rather than with my special needs coworker,1
disagreeing with my bi gf about lgbt rights,1
having sex with a girl who is more interested in me than I am in her,0
wanting to see my boyfriends text messages,1
being pissed that my step daughter told us to keep it down in our bedroom,0
not going to my great-grandfathers funeral,1
cutting ties with my friend for feeling like he used me,1
honking at drivers blocking the right lane,1
telling my crush stop talking about his girlfriend,1
refusing to serve a customer during the minutes silence for remembrance day,1
wanting to cut ties with my dad,1
talking while my roommate is trying to sleep,0
taking property back that's mine,1
playing games near an open casket,0
asking my dad for money,-1
"not being supportive of my friend whose dog is ill, right after my cat died",1
liking my ex best friends ex girlfriend,1
"defending my right to call myself an American, even if people from Southern/central american countries call me out for this",1
letting go of the door when there's someone right behind me,1
dating my sister in laws best friend and ruining their friendship,1
calling a girl in my class fat,1
making a Nabka/War of Independence Joke,1
sending the pizza driver back for my drink,1
"contacting my father I've never met, recently discovered through ancestry dna testing",1
asking my brother not to bring his girlfriend to my birthday meal,0
telling my bf that some things he says and/or does feels demeaning/degrading to me,0
getting annoyed and yelling at my roomate,0
exposing my mom in front of our family,0
refusing to take pics of my daughter during dance class and keeping my mom away from class time,0
waking my roommates up to pay rent,0
exposing my ex to other girls,0
I flip over test at the beginning to make everyone else not notice that I finished the first page first,0
"I wanted to, when I turn 18, leave my family",1
I'm an awkward idiot who should not text,-1
"I am more upset about the stigma and drama surrounding a death, than the actual person dying.",0
I have a disgusting and horrible fetish that I want to get rid of,0
I hurt myself when I make a mistake.,1
