input,label
She was excited for them to come out of the oven.,1
changing my mind about having children,1
"It came down to the final throw, but in the end I won!",1
I am thinking of going back on antidepressants,-1
I can't stand my life.,-1
I am turning into a different person,1
I changed the name of Google Chrome on the school laptop,1
moving to California,1
wanting my bf to participate in family events,1
Everything is getting boring,-1
"It was a lot like home, but I still enjoyed myself.",1
not saving a spot on a trip for a friend,-1
She called me up and I changed the locks for her.,1
fighting with my husband about him being in his phone all the time,0
My crush made a move and I ran away,-1
I don't know why... But I am constantly anxious about someone possibly thinking I'm poor.,-1
getting my ps4,1
When I see a dog I get more excited than I should.,0
cutting my atheist brother off,-1
I genuinely cried of happiness when I got a tweet back from my favourite actor,1
I throw out all the clothes my ex buys our child.,-1
i dread when my brother in law comes to visit us with his family,0
I'm only pursuing my current degree because of a video game character.,-1
I hate how my life turned out,-1
"I feel like I’m a boring, uninteresting person and that I won’t do well in life despite working hard in school and I am unable to change my ways.",-1
I Am on The Brink Of Cheating,-1
getting mad at my mom. my parents are divorced and she uses my brother and I to get thing from my dad. we are put in the middle of there communication and disagreements and I just blew after it happening,-1
"I have some free product, are you interested?",0
wanting my friend to go back to her old personality,-1
I'm doing literally nothing with my life and I'm starting to feel completely unmotivated.,-1
Bring back the gritty reboots.,0
getting upset with my girlfriend for being friends with her Ex-hookups,-1
I am trapped in a boring assed vanilla marriage,-1
asking whether we are staying together when we go overseas,0
Should I tell my boyfriend I’m pregnant?,0
answering a journalist questions about my work making artillery ammunition,1
I decided to be a loner this year.,-1
expecting my oil change appointment to be kept,0
deciding last-minute that I'd rather attend a new friend's bachelorette party instead of my cousin's wedding,1
Edited my boyfriend's Facebook,1
I really want a war to break out and I watch the news on North Korea with excitement.,1
I'm a cheater who can't communicate his feelings and I hate myself.,-1
There's something wrong with me and I don't want to change it.,-1
I am so lonely that my favorite hobby is daydreaming.,-1
Afraid to tell my family,-1
my boyfriend is on bumble,0
I hate my wedding anniversary date,-1
expecting my wife to pick up some more of the household chores while she's unemployed,-1
I despise going outside because I am overweight,-1
slut shaming someone I know,0
I just got kicked out of my college and dont k ow what to do,-1
I'm 31 and feel like a child because I can't grow a beard.,0
I just scratched the bumper of a car in my work parking lot and drove off. I'm at work right now trembling wth nervousness. I'm such an idiot,-1
I impulsively got my hair dyed.,1
My sister was expecting her first baby.,0
not changing a homeless man's money,0
I can't wait for my boyfriend to propose.,1
I will not change my lifestyle because of the climate change and I dont care if I could do a positive change,-1
She was excited to move to her new place.,1
dropping a friend,-1
"Next to the Popsicles, I noticed a product called Frosty Paws.",1
getting upset at my roommate over disputes of shared space,-1
I can't stop thinking about what happened or getting worked up over it.,-1
not answering my ex email,-1
I consistently wish that this one girl would change her mind about me as a miracle,0
The date went well and I was excited for him to kiss me in the car.,1
I'm always nervous whenever I go to school now.,-1
not wanting anything more to do with my father,-1
Just moved out and never felt more alone,-1
I generally find music overstimulating and subsequently I avoid concerts and outdoor festivals as much as possible.,-1
not being excited about my girlfriends job prospects,-1
deciding not to attend a friend's bbq last minute,-1
"I’m nervous about moving on in the job world, so I’m comfortable where I am.",-1
The lights were shining bright on me and I wanted to do well.,1
"I avoid my family as much as possible and dread Holidays because I’m tired of the “You should go to college and get a better education,” conversations.",-1
not covering my co-worker's shift,-1
Hate with a passion people agreeing with you just to cut conversations short.,0
I wish I had the guts to be with a girl.,-1
"If you tailgate me, I'll change lanes to allow you to pass as slow as possible because that's how spiteful I am.",0
He was nervous while cutting my hair.,-1
not wanting to do shift swaps 4 weeks in advanced,0
changing my original availability at work,0
I'm moving cross- country to rely on friends and possibly live in a tent,1
telling my coworker to stop talking to me,0
possibly leading a girl on,1
I'm Developing Feelings For a Close Friend and I Hate Myself for It,0
Tomorrow's my birthday and I just don't care.,-1
I'm really really uncomfortable with my body and I've been hiding all my life,-1
I’m scared to get married.,-1
I sleep around to fill a hole in my life,-1
Not sure if I was molested,0
Eating Habits Deeply Rooted in Wild and Domestic Pigs,0
