input,label
refusing to loan my dad money to cover his mortgaga,-1
being semi-responsible of breaking my friend's phone,0
"saying Jesus or Jesus Christ, taking the name in vain, even though I'm not a Christian",-1
telling my mom my dead father was a bastard and that I was better off without him,-1
ratting my sister out to my mom,-1
I think Mullets are cool,-1
telling my dad to fuck off,-1
I feel a general lack of respect for people and don’t quite know why.,-1
I just came out of the closet....,-1
I’m a guy and bought a woman thong underwear for my first time,-1
not buying into my GF's preferred pronouns,-1
I find it incredibly difficult to show my mother love,-1
"I didn't tip for a year, the money I saved is paying for my plane ticket for my vacation.",0
I flex on everyone with my inhaler.,-1
I support Israel because I dislike Moslems,-1
yelling at a guest for getting comfy,-1
"I truly need help from a mature person, if you can give me any helpful advice don't think twice pretty please.",1
Every year I steal a few bags of apples every year,-1
I’m a Republican and unfaithful to my husband,-1
buying a gun behind my moms back,-1
snitching on coworker,-1
losing my temper at my dad,-1
I am responsible for 3 people’s deaths,-1
"Staunch Democrat here. Just reminding you once more to be inclusive and not only tolerant but fully committed to the inclusion of all people, except White Republicans, this holiday season.",-1
asking my gf of 3 years for nudes,-1
not wanting to pay for tickets on a car in my parents name,-1
I get harassed because I am Jewish,0
I drink because I hate myself,-1
asking my bf about his religion,1
not giving older adults the right of way,-1
I love hot pockets too much,0
I beat up a transgender FREAK,-1
not letting my roommate's boyfriend sleep with her in the bunk above me,0
I hate having a fetish,0
calling the Bible the Bibble in front of my friend who turned christian heavy in one day,-1
My girlfriend and I developed a strange Valentine's Day tradition.,0
getting mad at pregnant coworker,-1
telling my boyfriend it's stupid he has to get his parents permission for everything,-1
Sometimes I almost hate my boyfriend.,0
I really hate going to church and catholic school and sometimes I think the people who are really religious have been brainwashed.,-1
Not Your Standard Baby Daddy,0
I just took a dump on a Quran,0
getting in Heated Argument with elderly parents,-1
"ruining the relationship between my sister, my parents and I by being on my phone too much",-1
keying my shitty boss's car,0
refusing to work mondays,-1
getting a puppy,0
I don't want to call my ex by their new Pronouns,0
yelling at my dad for bringing in more furniture,0
'being insensitive' and sounding angry to my mom and 'scaring' her away,-1
